id,weekday,monthname,day,year,month
2061789,Thu,Dec,27,2012,12
2061788,Sun,Jun,20,2010,6
2061791,Thu,Jul,3,2014,7
2061790,Wed,May,20,2015,5
2061792,Fri,Sep,9,2016,9
2061794,Thu,Jun,22,2017,6
2061793,Sun,Jun,18,2017,6
2061795,Thu,May,19,2016,5
2061796,Thu,Sep,29,2016,9
2061798,Sat,Nov,9,2013,11
2061797,Tue,Jan,10,2017,1
2061799,Mon,May,22,2017,5
2061801,Thu,Jun,2,2016,6
2061800,Fri,Apr,29,2016,4
2061802,Sat,Jan,16,2016,1
2061803,Sun,Feb,22,2015,2
2061805,Tue,Dec,6,2016,12
2061806,Sat,Apr,30,2011,4
2061804,Wed,Aug,31,2016,8
2061807,Fri,Jun,23,2017,6
2061810,Sun,Mar,29,2015,3
2061811,Fri,Mar,12,2010,3
2061808,Mon,Oct,12,2015,10
2061812,Sun,Jul,5,2015,7
2061809,Fri,Jan,23,2015,1
2061813,Fri,Mar,11,2016,3
2061814,Wed,Apr,17,2013,4
2061815,Sun,Mar,1,2009,3
2061816,Fri,Oct,15,2010,10
2061817,Fri,Mar,24,2017,3
2061818,Sat,Jun,3,2017,6
2061820,Sat,Sep,26,2009,9
2061819,Sun,Oct,16,2011,10
2061822,Fri,Jun,12,2015,6
2061821,Wed,Oct,2,2013,10
2061825,Fri,Jan,15,2016,1
2061826,Wed,Apr,5,2017,4
2061827,Wed,Jun,1,2016,6
2061823,Fri,May,5,2017,5
2061828,Tue,Jul,5,2016,7
2061824,Tue,Feb,24,2015,2
2061829,Mon,Apr,20,2015,4
2061830,Mon,Oct,18,2010,10
2061832,Wed,Jul,10,2013,7
2061831,Sun,May,21,2017,5
2061833,Wed,Mar,25,2009,3
2061835,Thu,Jul,10,2014,7
2061834,Sat,May,25,2013,5
2061836,Sat,Nov,26,2016,11
2061838,Thu,Feb,4,2016,2
2061840,Mon,Aug,4,2014,8
2061837,Tue,Apr,15,2014,4
2061839,Tue,Jul,7,2009,7
2061841,Sat,Sep,12,2015,9
2061844,Sun,Oct,4,2015,10
2061842,Wed,May,22,2013,5
2061843,Thu,Mar,13,2014,3
2061845,Tue,Jan,10,2017,1
2061846,Sat,Nov,28,2015,11
2061847,Sun,Oct,16,2016,10
2061849,Fri,Apr,22,2016,4
2061850,Mon,May,22,2017,5
2061851,Sun,Jul,17,2011,7
2061848,Sun,Jun,12,2016,6
2061852,Wed,Mar,23,2011,3
2061853,Fri,Jul,20,2012,7
2061854,Thu,May,10,2012,5
2061856,Tue,May,13,2014,5
2061857,Fri,Apr,1,2016,4
2061855,Sun,Feb,24,2013,2
2061859,Tue,Mar,17,2015,3
2061858,Mon,May,16,2016,5
2061860,Fri,Jul,15,2016,7
2061862,Mon,Dec,26,2016,12
2061863,Fri,Apr,18,2014,4
2061861,Mon,Aug,26,2013,8
2061864,Sat,Mar,14,2009,3
2061865,Fri,Sep,9,2016,9
2061866,Fri,May,12,2017,5
2061867,Thu,Apr,7,2011,4
2061869,Fri,Mar,27,2015,3
2061868,Mon,Feb,2,2015,2
2061870,Thu,Aug,14,2014,8
2061871,Thu,Jul,12,2012,7
2061874,Tue,Mar,23,2010,3
2061872,Thu,Nov,7,2013,11
2061873,Tue,Nov,1,2016,11
2061878,Tue,Nov,25,2014,11
2061875,Sun,Feb,5,2012,2
2061876,Sat,Oct,29,2011,10
2061877,Thu,Jun,15,2017,6
2061879,Sat,Apr,4,2009,4
2061880,Fri,Dec,5,2014,12
2061882,Mon,Mar,7,2011,3
2061881,Tue,Mar,31,2015,3
2061883,Mon,Jan,2,2017,1
2061884,Sat,Oct,8,2016,10
2061887,Wed,May,22,2013,5
2061885,Sun,Dec,25,2011,12
