id,lang,user_activity,user_category
2061788,ja,old-active,information-seeker
2061789,en,old-active,information_sharing
2061790,ar,old-active,information_sharing
2061791,tr,old-active,information_sharing
2061794,de,new-active,information_sharing
2061793,es,new-active,information-seeker
2061795,en,old-active,information_sharing
2061792,th,new-active,information-seeker
2061796,pt,new-active,information_sharing
2061798,ar,old-active,information_sharing
2061797,tr,new-active,information-seeker
2061799,ja,new-active,information-seeker
2061800,en,old-active,information-seeker
2061802,en,old-active,information-seeker
2061801,pt,new-active,information_sharing
2061803,ja,old-active,information-seeker
2061804,en,new-passive,information-seeker
2061805,en,new-active,information-seeker
2061806,en,old-active,information_sharing
2061807,en-gb,new-active,information-seeker
2061810,ja,old-active,information-seeker
2061811,en,old-active,information_sharing
2061808,pt,old-active,information_sharing
2061812,en,old-active,information_sharing
2061809,ja,old-active,information-seeker
2061814,pt,old-active,friendship-relationship
2061813,ja,old-active,information_sharing
2061815,en,old-active,information_sharing
2061816,ja,old-active,information_sharing
2061817,ja,new-active,information-seeker
2061818,en,new-active,friendship-relationship
2061820,en,old-active,friendship-relationship
2061819,ja,old-active,information_sharing
2061822,ja,old-active,friendship-relationship
2061821,en,old-active,information-seeker
2061825,en,old-active,information-seeker
2061826,en,new-active,information_sharing
2061827,ko,new-active,information-seeker
2061823,ru,new-active,information-seeker
2061824,ja,old-active,friendship-relationship
2061828,pt,new-active,information-seeker
2061829,en,old-active,information-seeker
2061830,en,old-active,information_sharing
2061832,tr,old-active,information_sharing
2061831,en,new-active,information-seeker
2061833,en,old-active,information_sharing
2061834,en,old-active,friendship-relationship
2061835,pt,old-active,information_sharing
2061836,ja,new-passive,information-seeker
2061837,fr,old-active,information-seeker
2061838,en,old-active,information_sharing
2061840,ja,old-active,information-seeker
2061839,en,old-passive,information_sharing
2061841,ja,old-passive,information-seeker
2061842,en,old-active,information_sharing
2061844,en,old-active,information-seeker
2061846,ko,old-active,information_sharing
2061845,ar,new-passive,information-seeker
2061843,en,old-active,information_sharing
2061847,id,new-active,friendship-relationship
2061850,ko,new-active,information-seeker
2061849,es,old-active,information-seeker
2061851,en,old-active,information_sharing
2061848,en,new-active,information_sharing
2061852,it,old-active,friendship-relationship
2061854,es,old-active,information_sharing
2061853,en,old-active,information_sharing
2061857,ar,old-active,information_sharing
2061856,en,old-active,information_sharing
2061855,pt,old-active,information_sharing
2061859,en-gb,old-passive,information_sharing
2061858,ja,old-active,information_sharing
2061860,pl,new-passive,information-seeker
2061862,en,new-active,information_sharing
2061863,ja,old-active,information_sharing
2061864,en,old-active,information_sharing
2061861,ar,old-active,information-seeker
2061865,ar,new-active,information_sharing
2061866,ja,new-active,information_sharing
2061867,es,old-active,information-seeker
2061868,es,old-active,information-seeker
2061869,es,old-active,information-seeker
2061870,ja,old-active,information_sharing
2061871,es,old-active,information_sharing
2061872,es,old-active,information_sharing
2061873,ja,new-active,information_sharing
2061874,ja,old-active,information-seeker
2061876,en,old-active,information-seeker
2061878,en,old-active,information-seeker
2061875,es,old-active,information-seeker
2061877,fr,new-active,information-seeker
2061879,en,old-active,friendship-relationship
2061880,es,old-active,information-seeker
2061882,en,old-active,information-seeker
2061881,ko,old-active,friendship-relationship
2061883,ko,new-active,information_sharing
2061884,en,new-active,information-seeker
2061886,en,old-active,information-seeker
2061887,ru,old-passive,information_sharing
