id,us_id,is_protected,is_verified,followers_count,friends_count,listed_count,favourites_count,statuses_count
2061788,157618215,False,False,109,230,5,6085,53443
2061789,1038395252,False,False,662,343,2,676,15289
2061790,3291811287,False,False,18663,11446,15,4939,52303
2061791,2601706070,False,False,2842,859,3,18052,14985
2061795,733182523098861568,False,False,1166,312,24,8877,31234
2061793,876283832785305600,False,False,74,447,0,370,1023
2061794,877920227929063424,False,False,136,49,4,36,47
2061796,781597273595768836,False,False,289,76,113,2,105001
2061792,774270635606290432,False,False,21,173,0,4745,3055
2061797,818872393271742465,False,False,5,59,0,60,177
2061798,2174850341,False,False,41,1,0,1890,6565
2061799,866740781419159552,False,False,49,63,0,1857,1464
2061800,725949631603970048,False,False,412,4952,12,959,12285
2061801,738257224183746560,False,False,422,100,0,3801,8965
2061802,4819419369,False,False,560,1363,6,12227,19314
2061803,3036251588,False,False,167,255,11,8936,21330
2061804,771103759074070528,False,False,19,63,0,5,28
2061805,806216819048644608,False,False,5,72,0,2923,446
2061806,290340515,False,False,1736,1695,54,16782,24312
2061807,878269309889515520,False,False,4,48,0,8,87
2061808,3933378195,False,False,324,214,2,3832,15990
2061810,3115586214,False,False,90,166,1,1454,9315
2061809,2993033370,False,False,1,1,0,0,62657
2061811,122487581,False,False,625,587,33,10682,20447
2061812,3359955292,False,False,628,424,0,9751,19436
2061813,708234687093673984,False,False,497,416,0,5694,835
2061814,1360592276,False,False,4050,4757,23,31384,36962
2061815,22318474,False,False,58643,137,105,6326,17686
2061816,203052403,False,False,681,463,26,522,96274
2061817,845135802652766208,False,False,69,89,0,3097,1622
2061818,870809450013052928,False,False,653,785,1,6282,1422
2061820,77470165,False,False,750,931,5,3854,29236
2061819,391754610,False,False,2730,2706,29,4776,29233
2061821,1926929611,False,False,61,82,4,1243,7691
2061822,3243126319,False,False,341,371,2,935,1386
2061825,4761404172,False,False,878,1871,6,10463,6618
2061823,860400440172793856,False,False,7,64,0,1202,1310
2061826,849666592606527488,False,False,2,0,2,0,177732
2061824,3040250270,False,False,225,233,2,1,26550
2061827,738135624805322752,False,False,11,173,1,213,4760
2061828,750476896366915584,False,False,205,581,0,845,968
2061829,3164812938,False,False,14,132,12,300,10293
2061830,204199706,False,False,490,435,10,24548,21220
2061832,1582534525,False,False,701,113,1,34720,12988
2061831,866334943558946816,False,False,288,379,2,1452,1596
2061833,26427012,False,False,11991,55,132,4865,33099
2061834,1458038696,False,False,580,708,2,26207,12912
2061837,2485993649,False,False,457,884,39,8348,27556
2061836,802421899649163265,False,False,20,41,0,422,75
2061835,2615661260,False,False,15997,8189,38,6225,35858
2061840,2706175694,False,False,278,380,0,1176,3921
2061839,54574780,False,False,2393,94,35,75,1672
2061838,4856308098,False,False,311,208,10,9789,3208
2061841,3538283114,False,False,40,54,0,934,63
2061842,1449478352,False,False,1366,903,6,27868,24558
2061844,3863011703,False,False,185,540,21,1744,1753
2061843,2387954718,False,False,440,299,32,27,2391
2061846,4388921713,False,False,300,206,0,7119,22015
2061845,818957313574895616,False,False,38,234,0,60,53
2061847,787618837055148032,False,False,1,0,0,0,24657
2061849,723307250677256192,False,False,11,21,0,12,1979
2061850,866541306566148096,False,False,0,28,0,69,74
2061848,741974308017164289,False,False,1558,1483,4,12766,7150
2061851,336966952,False,False,941,575,1,122,47748
2061852,270767206,False,False,1962,1990,64,80,121062
2061853,706472028,False,False,826,595,8,1598,40056
2061854,576241810,False,False,2174,1427,5,28991,33520
2061855,1215713970,False,False,5420,2680,17,738,66868
2061856,2545645817,False,False,829,581,0,1849,8859
2061857,715869983033663488,False,False,3160,2248,24,2182,39229
2061859,3092722404,False,False,210,78,0,858,414
2061858,732087777391566848,False,False,470,264,1,26640,66057
2061860,753882406621421568,False,False,22,56,0,574,60
2061861,1700618880,False,False,116,205,0,40,21825
2061862,813458588870053889,False,False,659,191,24,16663,16501
2061863,2451331062,False,False,560,475,0,3629,7780
2061864,24343867,False,False,1032,419,21,11391,46831
2061865,774092926297137153,False,False,8,5,0,360,5800
2061866,863064519949537281,False,False,50,46,3,2033,3787
2061867,278287008,False,False,1162,1549,30,12157,62890
2061869,3111149676,False,False,1242,2162,7,11564,59878
2061868,3011219235,False,False,81,109,2,2381,8451
2061870,2731155421,False,False,725,569,37,48815,17314
2061871,634216401,False,False,877,458,2,8634,15528
2061872,2172343617,False,False,1383,799,36,115298,37794
2061873,793432406313177088,False,False,116,114,4,1504,2876
2061874,125705580,False,False,220,302,9,358,72425
2061876,401040929,False,False,524,1679,17,2388,33683
2061878,2910185382,False,False,1292,2596,36,51522,17380
2061875,484178781,False,False,202,341,18,9378,17776
2061877,875268814207942656,False,False,281,443,0,1468,2560
2061879,28753000,False,False,940,961,41,5066,8163
2061880,2905918889,False,False,3346,4497,35,12134,96722
2061882,262325134,False,False,160,378,2,2319,4184
2061881,3120727170,False,False,3761,4254,2,521,18191
2061883,816071035988520960,False,False,446,77,0,38,2177
2061884,784896724280147968,False,False,87,149,0,29353,20373
2061885,446455787,False,False,280,510,7,217,4778
2061886,289073401,False,False,567,1077,5,25014,71111
